Game,Team,Opponent,Win_Loss,Runs,Runs Allowed,Day_Night,Attendance,Team,HR Count
1,ARI,SFG,Win,6,5,Day,49016,ARI,1
1,CHC,STL,Loss,3,4,Night,47566,CHC,1
1,NYY,TBR,Loss,3,7,Day,31042,NYY,0
1,SFG,ARI,Loss,5,6,Day,49016,SF,2
1,STL,CHC,Win,4,3,Night,47566,STL,1
1,TBR,NYY,Win,7,3,Day,31042,TB,2
1,ATL,NYM,Loss,0,6,Day,44384,ATL,0
1,BAL,TOR,Win,3,2,Day,45667,BAL,1
1,BOS,PIT,Win,5,3,Day,36594,BOS,1
1,CIN,PHI,Loss,3,4,Day,43804,CIN,1
1,CLE,TEX,Win,8,5,Night,48350,CLE,2
1,COL,MIL,Win,7,5,Day,43336,COL,1
1,HOU,SEA,Win,3,0,Night,41678,HOU,2
1,KCR,MIN,Loss,1,7,Day,39615,KC,1
1,LAA,OAK,Loss,2,4,Night,36067,LAA,1
1,LAD,SDP,Win,14,3,Day,53701,LAD,4
1,MIA,WSN,Loss,2,4,Day,42744,MIA,0
1,MIL,COL,Loss,5,7,Day,43336,MIL,0
1,MIN,KCR,Win,7,1,Day,39615,MIN,1
1,NYM,ATL,Win,6,0,Day,44384,NYM,0
1,OAK,LAA,Win,4,2,Night,36067,OAK,3
1,PHI,CIN,Win,4,3,Day,43804,PHI,2
1,PIT,BOS,Loss,3,5,Day,36594,PIT,0
1,SDP,LAD,Loss,3,14,Day,53701,SD,1
1,SEA,HOU,Loss,0,3,Night,41678,SEA,0
1,TEX,CLE,Loss,5,8,Night,48350,TEX,3
1,TOR,BAL,Loss,2,3,Day,45667,TOR,0
1,WSN,MIA,Win,4,2,Day,42744,WSH,2
2,ARI,SFG,Loss,4,8,Night,19378,ARI,2
2,CHC,STL,Win,2,1,Night,46760,CHC,0
1,CHW,DET,Loss,3,6,Day,36534,CHW,0
2,CLE,TEX,Win,4,3,Night,23574,CLE,1
2,COL,MIL,Win,6,5,Night,21458,COL,0
1,DET,CHW,Win,6,3,Day,36534,DET,3
2,HOU,SEA,Win,2,1,Night,21406,HOU,2
2,LAA,OAK,Win,7,6,Night,11225,LAA,1
2,LAD,SDP,Loss,0,4,Night,42196,LAD,0
2,MIL,COL,Loss,5,6,Night,21458,MIL,1
2,NYY,TBR,Win,5,0,Night,19366,NYY,2
2,OAK,LAA,Loss,6,7,Night,11225,OAK,2
2,SDP,LAD,Win,4,0,Night,42196,SD,1
